month,revenue,total_orders,avg_order_value
2016-09,143.46,1,143.46
2016-10,46671.48,265,176.12
2016-12,19.62,1,19.62
2017-01,128454.1,750,171.27
2017-02,272657.26,1653,164.95
2017-03,416327.3,2546,163.52
2017-04,391484.45,2303,169.99
2017-05,570837.9,3546,160.98
2017-06,494147.47,3135,157.62
2017-07,570027.48,3872,147.22
2017-08,651423.74,4193,155.36
2017-09,703978.54,4150,169.63
2017-10,755217.45,4478,168.65
2017-11,1161920.53,7289,159.41
2017-12,846369.6,5513,153.52
2018-01,1084202.96,7069,153.37
2018-02,977182.14,6555,149.07
2018-03,1125026.32,7003,160.65
2018-04,1135408.11,6798,167.02
2018-05,1129431.65,6749,167.35
2018-06,1012975.65,6099,166.09
2018-07,1030162.0,6159,167.26
2018-08,985596.34,6351,155.19
